,,,,,,,,,,,,,,,,,,,
Mineral demand for electric vehicles (kt),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Stated Policies scenario,,,,,,Announced Pledges scenario,,,,,,Net Zero Emissions by 2050 scenario,,,,
,2023,,2030,2035,2040,2045,2050,,2030,2035,2040,2045,2050,,2030,2035,2040,2045,2050
,,,,,,,,,,,,,,,,,,,
Base case,,,,,,,,,,,,,,,,,,,
Copper,"395,95",,"1644,59","2594,14","3131,08","3286,87","3470,40",,"1870,16","3256,05","4297,34","4585,13","4804,46",,"2611,54","4028,10","4642,25","5043,91","5123,73"
Cobalt,"61,84",,"150,72","160,69","187,21","203,12","216,04",,"171,26","202,80","259,97","286,27","302,80",,"236,41","247,36","278,86","313,13","322,57"
Battery-grade graphite,"685,56",,"2791,72","3825,60","3674,59","2768,20","2215,23",,"3212,35","4865,63","5157,10","3990,62","3178,47",,"4537,46","6083,98","5777,93","4660,41","3593,25"
Lithium,"82,85",,"346,69","581,51","808,25","908,76","964,44",,"397,98","737,10","1123,77","1283,95","1353,29",,"559,74","908,98","1205,81","1410,26","1446,84"
Manganese,"57,03",,"325,51","725,72","1187,03","1475,50","1854,00",,"371,68","916,86","1647,79","2076,47","2585,34",,"518,43","1121,90","1762,73","2258,65","2723,17"
Nickel,"299,27",,"1184,46","1759,43","2081,34","1997,76","1799,25",,"1338,00","2203,66","2862,48","2784,50","2508,12",,"1825,34","2590,01","2921,33","2933,51","2634,18"
Silicon,"15,95",,"113,16","301,92","443,78","616,42","769,39",,"128,27","379,89","613,62","863,14","1069,81",,"176,04","453,05","640,51","920,30","1116,72"
Neodymium,"5,16",,"17,93","25,23","28,72","30,39","31,74",,"19,35","29,81","35,92","38,47","40,16",,"25,75","36,69","37,83","39,85","41,04"
Dysprosium,"0,53",,"1,77","2,47","2,81","2,98","3,11",,"1,92","2,92","3,53","3,78","3,95",,"2,55","3,61","3,74","3,94","4,06"
Praseodymium,"0,77",,"2,69","3,78","4,31","4,56","4,76",,"2,90","4,47","5,39","5,77","6,02",,"3,86","5,50","5,67","5,98","6,16"
Terbium,"0,11",,"0,37","0,52","0,59","0,63","0,66",,"0,40","0,62","0,74","0,80","0,83",,"0,53","0,76","0,78","0,82","0,85"
Total EV,"1605,04",,"6579,61","9981,02","11549,71","11295,19","11329,02",,"7514,27","12599,81","16007,65","15918,89","15853,25",,"10497,66","15479,94","17277,45","17590,76","17012,57"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
High material prices,,,,,,,,,,,,,,,,,,,
Copper,"400,76",,"1781,66","2858,56","3406,73","3631,41","3848,53",,"2020,84","3578,56","4659,52","5041,75","5304,87",,"2811,29","4392,62","4973,89","5462,32","5588,79"
Cobalt,"61,84",,"60,96","68,00","84,12","88,61","103,50",,"70,00","86,79","119,66","128,92","148,18",,"98,84","112,43","143,83","156,17","166,38"
Battery-grade graphite,"685,56",,"2662,80","3296,24","3147,18","2471,15","1932,65",,"3065,92","4198,32","4422,13","3540,59","2757,46",,"4335,49","5281,60","4983,27","4055,23","3075,37"
Lithium,"82,85",,"301,61","482,97","593,70","611,86","635,18",,"346,76","612,40","825,39","862,06","885,87",,"489,24","756,59","885,71","938,75","932,04"
Manganese,"57,95",,"242,66","608,21","983,31","1111,96","1299,09",,"277,76","767,31","1362,36","1562,55","1807,94",,"391,11","942,34","1460,36","1704,24","1903,17"
Nickel,"299,26",,"565,34","763,49","975,44","862,78","763,03",,"641,56","963,45","1362,25","1231,72","1085,59",,"884,36","1177,83","1502,34","1406,95","1200,87"
Silicon,"15,95",,"89,93","249,48","300,05","397,27","469,72",,"101,99","313,62","415,21","559,13","656,77",,"140,11","372,57","433,81","606,57","695,83"
Neodymium,"5,00",,"15,43","20,84","21,89","21,16","21,84",,"16,64","24,61","27,41","26,85","27,62",,"22,11","30,06","28,51","27,50","27,86"
Dysprosium,"0,52",,"1,51","1,98","2,02","1,87","1,92",,"1,63","2,34","2,53","2,39","2,44",,"2,16","2,86","2,63","2,45","2,46"
Praseodymium,"0,75",,"2,31","3,13","3,28","3,17","3,28",,"2,50","3,69","4,11","4,03","4,14",,"3,32","4,51","4,28","4,12","4,18"
Terbium,"0,10",,"0,32","0,44","0,46","0,45","0,46",,"0,34","0,51","0,58","0,57","0,59",,"0,46","0,63","0,60","0,58","0,59"
Total EV,"1610,56",,"5724,52","8353,33","9518,17","9201,68","9079,21",,"6545,94","10551,62","13201,14","12960,56","12681,47",,"9178,48","13074,03","14419,23","14364,88","13597,54"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Wider use of silicon-rich anodes,,,,,,,,,,,,,,,,,,,
Copper,"395,95",,"1644,59","2594,14","3131,08","3286,87","3470,40",,"1870,16","3256,05","4297,34","4585,13","4804,46",,"2611,54","4028,10","4642,25","5043,91","5123,73"
Cobalt,"61,84",,"150,72","160,69","187,21","203,12","216,04",,"171,26","202,80","259,97","286,27","302,80",,"236,41","247,36","278,86","313,13","322,57"
Battery-grade graphite,"685,56",,"2715,98","3559,57","3293,85","2171,00","1286,41",,"3125,75","4525,61","4617,36","3129,84","1884,26",,"4416,62","5650,10","5145,95","3655,02","2234,65"
Lithium,"82,85",,"346,69","573,65","808,25","908,76","963,43",,"397,98","727,37","1123,77","1283,95","1351,29",,"559,74","898,21","1205,81","1410,26","1443,08"
Manganese,"57,03",,"325,51","725,72","1187,03","1475,50","1854,00",,"371,68","916,86","1647,79","2076,47","2585,34",,"518,43","1121,90","1762,73","2258,65","2723,17"
Nickel,"299,27",,"1184,46","1759,43","2081,34","1997,76","1799,25",,"1338,00","2203,66","2862,48","2784,50","2508,12",,"1825,34","2590,01","2921,33","2933,51","2634,18"
Silicon,"15,95",,"129,02","381,91","543,38","780,55","1025,72",,"146,51","481,85","755,19","1099,77","1427,93",,"201,79","581,68","808,08","1196,90","1495,29"
Neodymium,"5,16",,"17,93","25,23","28,72","30,39","31,74",,"19,35","29,81","35,92","38,47","40,16",,"25,75","36,69","37,83","39,85","41,04"
Dysprosium,"0,53",,"1,77","2,47","2,81","2,98","3,11",,"1,92","2,92","3,53","3,78","3,95",,"2,55","3,61","3,74","3,94","4,06"
Praseodymium,"0,77",,"2,69","3,78","4,31","4,56","4,76",,"2,90","4,47","5,39","5,77","6,02",,"3,86","5,50","5,67","5,98","6,16"
Terbium,"0,11",,"0,37","0,52","0,59","0,63","0,66",,"0,40","0,62","0,74","0,80","0,83",,"0,53","0,76","0,78","0,82","0,85"
Total EV,"1605,04",,"6519,73","9787,12","11268,58","10862,12","10655,53",,"7445,91","12352,01","15609,48","15294,74","14915,16",,"10402,57","15163,92","16813,04","16861,97","16028,78"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Faster uptake of solid state batteries,,,,,,,,,,,,,,,,,,,
Copper,"395,95",,"1603,40","2507,46","3004,90","3121,85","3302,63",,"1822,88","3144,50","4118,57","4346,51","4562,21",,"2545,21","3882,74","4433,99","4763,54","4845,63"
Cobalt,"61,84",,"179,41","218,48","272,43","300,33","304,85",,"204,30","276,45","380,17","425,53","429,94",,"282,90","339,88","416,42","472,48","465,53"
Battery-grade graphite,"685,56",,"2659,73","3357,63","2986,80","1795,83","915,05",,"3062,06","4273,04","4191,83","2595,75","1334,96",,"4329,65","5358,02","4692,45","3049,72","1569,34"
Lithium,"82,85",,"359,89","612,99","877,36","993,43","1083,05",,"412,97","776,73","1219,61","1404,36","1519,56",,"580,31","956,23","1308,00","1545,92","1624,05"
Manganese,"57,03",,"326,24","743,81","1290,01","1699,63","2073,98",,"372,12","940,54","1790,30","2395,77","2903,97",,"518,18","1155,52","1911,19","2617,15","3091,90"
Nickel,"299,27",,"1376,36","2154,09","2709,83","2575,79","2390,29",,"1558,31","2711,00","3753,37","3634,76","3364,35",,"2134,26","3249,13","3963,40","3984,18","3624,28"
Silicon,"15,95",,"127,76","381,77","538,55","768,48","915,28",,"145,10","481,65","748,69","1082,39","1278,15",,"199,90","581,29","802,28","1176,65","1349,64"
Neodymium,"5,16",,"17,93","25,23","28,72","30,39","31,74",,"19,35","29,81","35,92","38,47","40,16",,"25,75","36,69","37,83","39,85","41,04"
Dysprosium,"0,53",,"1,77","2,47","2,81","2,98","3,11",,"1,92","2,92","3,53","3,78","3,95",,"2,55","3,61","3,74","3,94","4,06"
Praseodymium,"0,77",,"2,69","3,78","4,31","4,56","4,76",,"2,90","4,47","5,39","5,77","6,02",,"3,86","5,50","5,67","5,98","6,16"
Terbium,"0,11",,"0,37","0,52","0,59","0,63","0,66",,"0,40","0,62","0,74","0,80","0,83",,"0,53","0,76","0,78","0,82","0,85"
Total EV,"1605,04",,"6655,56","10008,24","11716,31","11293,90","11025,41",,"7602,30","12641,72","16248,12","15933,88","15444,10",,"10623,11","15569,36","17575,76","17660,24","16622,48"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
